"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL1009",10515.907616319,8.69169017059183,0.489376863059364,17.7607296680421,1.42371658419662e-70,1.81239121168229e-67
"MODEL371",1389.6488005012,-6.08119859888711,0.454804241583146,-13.3710243724175,8.93024540674563e-41,5.68410120139359e-38
"MODEL1420",7189.71176057623,-5.50969305457253,0.420511662686789,-13.1023549248772,3.191976832951e-39,1.35446216944888e-36
"MODEL398",6626.78750334519,5.32354911946737,0.421818096049354,12.6204853924629,1.62814632615346e-36,5.18157568298338e-34
"MODEL673",727.53171123829,-8.63886195793744,0.727084748170834,-11.881506220108,1.47681999406732e-32,3.75998370489539e-30
"MODEL203",1411.18976714795,-4.98183983228631,0.449481440938096,-11.0835273240401,1.50811617084505e-28,3.19971980914292e-26
"MODEL530",10518.0236645546,-4.34101807821549,0.406688249725622,-10.6740681127232,1.34601263843262e-26,2.4478201267496e-24
"MODEL665",4455.12841348252,-6.28275000807959,0.589733134647272,-10.653547577647,1.67844124911476e-26,2.67081963765386e-24
"MODEL827",12865.4206982432,-4.18631109546514,0.394472207030124,-10.6124361130097,2.60857543009349e-26,3.68968502501001e-24
"MODEL41",377.414201293572,-7.62317723196324,0.758050211218904,-10.056295901172,8.61800227609518e-24,1.09707168974692e-21
"MODEL1107",2005.12793374776,-4.81798320382958,0.482296791216437,-9.98966464545156,1.69153032639001e-23,1.95756191408589e-21
"MODEL1224",821.16029250353,4.88258361752152,0.506765586065318,9.6347971365447,5.70044838429686e-22,6.04722566100826e-20
"MODEL1326",1169.0765150459,5.45399766441372,0.579041746469031,9.41900596575625,4.55378564543214e-21,4.45920702048854e-19
"MODEL8",680.831696235864,5.14542650587263,0.547168137674179,9.40373927426411,5.26576722315026e-21,4.78808691076449e-19
"MODEL225",732.852613638184,5.02805079582268,0.536217543658704,9.37688603307426,6.79498881046386e-21,5.76668050381366e-19
"MODEL1049",2991.38745047937,4.02555480479822,0.436050181130138,9.23186132927393,2.65969232666797e-20,2.00639210929642e-18
"MODEL45",5330.41700990274,-4.29717092069037,0.465511631448667,-9.23107099884404,2.67939244760717e-20,2.00639210929642e-18
"MODEL622",623.332275844307,4.53681322493269,0.506650459410291,8.95452306549422,3.4120743215484e-19,2.41309478407284e-17
"MODEL360",48375.1233183581,-9.81876385121795,1.10612899017204,-8.87668973370893,6.88795910961986e-19,4.61493260344531e-17
"MODEL911",1189.34577726418,3.72248468880778,0.4320974211379,8.61491993866767,6.99904867866029e-18,4.45489448396727e-16
"MODEL582",264.901048365933,-6.90134623469463,0.805146500089121,-8.57154099773236,1.02109352651426e-17,6.18977171072694e-16
