"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL1009",5317.94783274697,8.75012190293467,0.605685081718914,14.4466525048002,2.63168846416723e-47,3.11065576464567e-44
"MODEL371",691.031344431625,-5.97787195898066,0.523152840445456,-11.4266262109761,3.07838288325644e-30,1.81932428400456e-27
"MODEL1420",3554.85574614839,-5.46769123098681,0.480903295900492,-11.3696272776599,5.92400089380763e-30,2.3340563521602e-27
"MODEL398",3308.71732188432,5.31768790398281,0.478199893651812,11.1202197544919,1.00025311994688e-28,2.95574796944302e-26
"MODEL673",340.499722309905,-8.69983765503814,0.801577157783208,-10.8534001631208,1.92141907399074e-27,4.54223469091411e-25
"MODEL665",2147.28350508992,-6.2516936932402,0.594837580729896,-10.5099171534674,7.77618290009072e-26,1.53190803131787e-23
"MODEL360",23468.6731386597,-9.73182409188377,1.02714808437084,-9.47460667060955,2.67767585030651e-21,4.52144693580328e-19
"MODEL203",681.488774048514,-4.88589473486925,0.518796506805994,-9.41774794311857,4.60866462058529e-21,6.80930197691476e-19
"MODEL530",5112.60028377668,-4.27377885548456,0.465417063153608,-9.18268622668444,4.20469111616434e-20,5.52216099922916e-18
"MODEL41",181.013881276129,-7.63898385181859,0.839763740178722,-9.09658691644965,9.32150974407595e-20,1.10180245174978e-17
"MODEL827",6248.4042043656,-4.1440593281582,0.457816978167704,-9.05178166337067,1.4065432084013e-19,1.5113946112094e-17
"MODEL45",2573.60057297618,-4.30499252499208,0.480909883222538,-8.95176554938876,3.49841357225622e-19,3.44593736867238e-17
"MODEL1049",1521.52938065156,4.07644338591545,0.484749780238506,8.40937644965979,4.12196162875039e-17,3.74781434244843e-15
"MODEL1107",956.787032136088,-4.73259377478417,0.574254794783401,-8.24127864107643,1.70379917467182e-16,1.43849330318721e-14
"MODEL1326",590.066734702642,5.56935389233357,0.68143711587796,8.17295354562253,3.00929877204258e-16,2.37132743236955e-14
"MODEL1224",411.437041546105,5.63462037636544,0.700027995394295,8.04913576805126,8.33807116557754e-16,6.15975007357041e-14
"MODEL225",386.076266640699,4.72707914305751,0.622183199359842,7.59756796377843,3.01747755320529e-14,2.09803439287568e-12
"MODEL932",718.854392277698,-3.89046257119841,0.517798459360911,-7.51346880405976,5.75808688941957e-14,3.78114372405218e-12
"MODEL8",337.626813228028,5.76524987945305,0.771725903421898,7.47059267272155,7.98344228364415e-14,4.96654146277231e-12
"MODEL327",686.525112079135,6.79364469575254,0.916650131228819,7.411382450407,1.24989557886292e-13,7.38688287107986e-12
"MODEL911",590.125543331606,3.77215814054868,0.512764674906373,7.35650937974119,1.88781622845272e-13,1.06257084858624e-11
"MODEL400",239.549131755024,-4.11725407291655,0.565580375316045,-7.27969755070769,3.34569405222777e-13,1.76909691291252e-11
"MODEL828",1919.52441590224,-3.5044707926539,0.481657781540074,-7.27585212357318,3.44240516048968e-13,1.76909691291252e-11
"MODEL622",311.670166991641,4.52221474069982,0.633775214423317,7.13536067328645,9.65336967043624e-13,4.75428456268985e-11
"MODEL383",1348.86019599215,-3.25721816758657,0.465049868614704,-7.00401911151852,2.48722163112862e-12,1.17595838719761e-10
"MODEL1372",419.540467401993,5.49129668172318,0.791102348221597,6.94132269240213,3.88445558237921e-12,1.7659332686047e-10
"MODEL1139",3186.85061405632,-3.95647029981096,0.573073730106077,-6.90394637192427,5.05774000071678e-12,2.21416617809157e-10
"MODEL582",128.32838972477,-6.63720349188618,0.970482512894176,-6.8390758243471,7.97056924109211e-12,3.3647188724896e-10
"MODEL697",298.124565228858,4.84151834404666,0.713130342809243,6.7891071987968,1.12829584062319e-11,4.59877821936761e-10
"MODEL1379",5066.32374647509,-3.06713241762602,0.452339937738904,-6.78059167836823,1.19684699271412e-11,4.71557715129362e-10
"MODEL639",106.720939143622,-5.77226017543544,0.872060884756163,-6.61910226262404,3.61386796384682e-11,1.37793288169901e-09
"MODEL1393",293.793064910619,4.32713594919593,0.655421302052443,6.60206791516473,4.0546167213269e-11,1.49767405144013e-09
"MODEL845",1635.02944505888,3.93096234818276,0.59690960657121,6.58552367880814,4.53284842170624e-11,1.62358388922933e-09
"MODEL741",386.543114645045,-4.36747373345306,0.667519861482397,-6.5428371281028,6.0362559783464e-11,2.04189345635025e-09
"MODEL967",319.885316486542,4.25676987899483,0.650624515400768,6.54259066210066,6.04621581829601e-11,2.04189345635025e-09
"MODEL528",168.578678837425,-4.00236903735091,0.622164108326909,-6.43297963316122,1.25126423055557e-10,4.10831755699078e-09
"MODEL793",1165.37040745855,-2.97147179023583,0.462945642478402,-6.41861920187413,1.37515908682501e-10,4.39307578547883e-09
"MODEL29",1969.54485132493,13.3458018646079,2.11630249525886,6.30618821955103,2.85991218460896e-10,8.89583211107314e-09
"MODEL1291",981.171565954783,-3.06810275928325,0.488880417476904,-6.2757734807985,3.47900378704795e-10,1.05440576315146e-08
"MODEL42",361.618240803852,-3.29698309161188,0.535014196024027,-6.16242170042123,7.16407578689727e-10,2.11698439502814e-08
"MODEL798",1203.08819864996,-2.78851628201595,0.454307140303758,-6.13795389645758,8.35911122221178e-10,2.4098706011352e-08
"MODEL1047",1649.48407700544,13.0900686503407,2.13737765402819,6.12435927065605,9.10492456500803e-10,2.56238591329512e-08
"MODEL316",54.849812205668,-10.379483711766,1.6977058160135,-6.11382938896841,9.72682954647309e-10,2.67374709858865e-08
"MODEL702",370.736738042668,-4.86096930554015,0.808898797590991,-6.00936646217892,1.8624969973393e-09,5.00334420648877e-08
"MODEL988",394.832941176176,4.75935312061353,0.795078918144891,5.98601347865975,2.15046555079719e-09,5.64855618009395e-08
"MODEL561",235.005721999936,4.22591638408676,0.708728766653445,5.9626708875402,2.48147911417402e-09,6.37632241946456e-08
"MODEL1087",2530.42391669254,13.7073649909095,2.31207193113665,5.92860663472989,3.05515985470907e-09,7.68340201758749e-08
"MODEL139",153.268126269192,-3.53604059183584,0.600930577016082,-5.88427470173683,3.9980333386911e-09,9.64423552312833e-08
"MODEL293",967.54341031942,12.3203559214796,2.09314016092562,5.88606350949348,3.95502385647175e-09,9.64423552312833e-08
"MODEL384",5838.76220091115,3.11507028189782,0.533480114343056,5.8391497605001,5.24678909536196e-09,1.24034094214357e-07
"MODEL312",288.087673444799,5.11670417596878,0.878715180294688,5.8229381837387,5.78219466595823e-09,1.34010864611032e-07
